DAUID,C1_COUNT_TOTAL
35200002,333.0
35200003,314.0
35200004,346.0
35200005,412.0
35200006,520.0
35200007,644.0
35200009,313.0
35200010,275.0
35200012,508.0
35200013,71.0
35200028,1192.0
35200029,365.0
35200030,507.0
35200031,1139.0
35200035,651.0
35200036,283.0
35200037,1256.0
35200039,285.0
35200042,682.0
35200044,235.0
35200048,977.0
35200049,788.0
35200050,971.0
35200051,464.0
35200052,370.0
35200053,286.0
35200055,461.0
35200057,242.0
35200058,249.0
35200062,718.0
35200064,645.0
35200065,391.0
35200066,474.0
35200068,470.0
35200069,676.0
35200070,532.0
35200071,387.0
35200073,348.0
35200074,232.0
35200078,680.0
35200079,1170.0
35200080,443.0
35200082,328.0
35200085,335.0
35200086,527.0
35200088,439.0
35200089,572.0
35200090,566.0
35200095,481.0
35200096,221.0
35200097,247.0
35200099,227.0
35200100,351.0
35200103,256.0
35200104,954.0
35200105,1193.0
35200106,1252.0
35200107,213.0
35200108,436.0
35200109,503.0
35200110,544.0
35200111,456.0
35200112,894.0
35200114,962.0
35200115,811.0
35200116,484.0
35200117,810.0
35200118,485.0
35200119,257.0
35200120,970.0
35200121,460.0
35200123,920.0
35200125,617.0
35200126,459.0
35200127,716.0
35200128,664.0
35200133,1042.0
35200134,652.0
35200135,451.0
35200136,436.0
35200137,546.0
35200138,281.0
35200145,469.0
35200147,457.0
35200148,392.0
35200149,374.0
35200150,1363.0
35200165,467.0
35200167,1259.0
35200173,365.0
35200174,583.0
35200175,628.0
35200176,400.0
35200177,337.0
35200178,540.0
35200182,375.0
35200183,440.0
35200190,368.0
35200198,428.0
35200200,482.0
35200203,1348.0
35200204,649.0
35200205,495.0
35200211,439.0
35200214,614.0
35200215,403.0
35200217,440.0
35200219,459.0
35200220,455.0
35200222,858.0
35200223,378.0
35200224,798.0
35200232,646.0
35200233,382.0
35200234,442.0
35200235,422.0
35200236,399.0
35200237,394.0
35200243,417.0
35200244,387.0
35200245,704.0
35200246,406.0
35200249,514.0
35200250,406.0
35200251,281.0
35200252,550.0
35200253,695.0
35200255,503.0
35200256,608.0
35200262,482.0
35200264,489.0
35200265,440.0
35200266,587.0
35200271,2077.0
35200272,2410.0
35200273,3230.0
35200275,431.0
35200278,391.0
35200279,579.0
35200284,886.0
35200288,398.0
35200289,613.0
35200290,516.0
35200291,584.0
35200294,452.0
35200297,393.0
35200298,1045.0
35200300,1222.0
35200301,412.0
35200302,855.0
35200303,213.0
35200306,568.0
35200307,257.0
35200310,585.0
35200315,939.0
35200316,1533.0
35200317,484.0
35200318,403.0
35200319,473.0
35200321,642.0
35200327,303.0
35200328,342.0
35200329,405.0
35200330,458.0
35200331,427.0
35200332,440.0
35200333,475.0
35200336,493.0
35200337,457.0
35200338,459.0
35200339,679.0
35200355,542.0
35200358,525.0
35200359,456.0
35200360,456.0
35200361,401.0
35200364,1498.0
35200366,673.0
35200368,339.0
35200370,446.0
35200371,501.0
35200372,365.0
35200373,300.0
35200375,304.0
35200378,276.0
35200379,491.0
35200380,570.0
35200381,1032.0
35200384,508.0
35200385,318.0
35200386,726.0
35200387,451.0
35200388,725.0
35200391,452.0
35200392,333.0
35200393,804.0
35200394,577.0
35200395,482.0
35200396,455.0
35200401,421.0
35200405,488.0
35200406,375.0
35200407,396.0
35200408,479.0
35200409,333.0
35200410,1017.0
35200411,778.0
35200412,1655.0
35200418,1052.0
35200422,576.0
35200426,498.0
35200427,483.0
35200428,515.0
35200429,543.0
35200430,594.0
35200431,606.0
35200432,399.0
35200433,439.0
35200434,425.0
35200435,448.0
35200436,657.0
35200437,438.0
35200438,570.0
35200439,384.0
35200440,437.0
35200442,516.0
35200443,483.0
35200444,561.0
35200450,449.0
35200451,321.0
35200453,662.0
35200455,414.0
35200456,861.0
35200460,503.0
35200465,628.0
35200466,542.0
35200467,577.0
35200468,597.0
35200469,490.0
35200470,579.0
35200479,543.0
35200481,446.0
35200489,416.0
35200490,376.0
35200491,477.0
35200492,272.0
35200493,324.0
35200494,433.0
35200505,421.0
35200512,427.0
35200513,405.0
35200514,464.0
35200515,457.0
35200516,447.0
35200517,545.0
35200520,523.0
35200521,623.0
35200522,563.0
35200531,685.0
35200532,464.0
35200533,265.0
35200534,550.0
35200535,444.0
35200536,1011.0
35200540,493.0
35200542,464.0
35200562,534.0
35200565,537.0
35200567,559.0
35200568,531.0
35200569,612.0
35200570,471.0
35200572,594.0
35200574,454.0
35200575,542.0
35200578,368.0
35200580,499.0
35200583,774.0
35200584,495.0
35200585,442.0
35200586,577.0
35200588,747.0
35200589,644.0
35200590,529.0
35200591,585.0
35200594,537.0
35200595,452.0
35200596,920.0
35200597,384.0
35200598,421.0
35200604,570.0
35200611,530.0
35200639,1851.0
35200640,579.0
35200641,1005.0
35200644,454.0
35200645,487.0
35200646,441.0
35200647,486.0
35200648,744.0
35200653,452.0
35200655,520.0
35200658,677.0
35200659,511.0
35200660,726.0
35200662,689.0
35200663,302.0
35200664,721.0
35200665,863.0
35200666,743.0
35200667,469.0
35200668,329.0
35200669,399.0
35200670,487.0
35200671,451.0
35200672,301.0
35200675,564.0
35200676,691.0
35200677,499.0
35200679,532.0
35200682,438.0
35200688,457.0
35200689,347.0
35200690,344.0
35200691,279.0
35200692,330.0
35200695,551.0
35200696,315.0
35200697,453.0
35200698,335.0
35200699,400.0
35200700,270.0
35200701,470.0
35200702,505.0
35200703,594.0
35200705,1007.0
35200711,505.0
35200712,711.0
35200713,418.0
35200714,397.0
35200715,395.0
35200716,323.0
35200717,435.0
35200718,1352.0
35200726,412.0
35200727,512.0
35200728,980.0
35200729,347.0
35200730,346.0
35200736,388.0
35200739,568.0
35200748,549.0
35200749,455.0
35200750,461.0
35200751,537.0
35200752,364.0
35200753,589.0
35200754,626.0
35200756,832.0
35200757,1498.0
35200772,852.0
35200774,304.0
35200783,478.0
35200794,527.0
35200795,441.0
35200796,495.0
35200797,451.0
35200801,1748.0
35200802,422.0
35200803,711.0
35200804,657.0
35200805,3894.0
35200807,186.0
35200810,785.0
35200814,1119.0
35200815,532.0
35200826,1084.0
35200827,423.0
35200828,513.0
35200829,0.0
35200831,560.0
35200833,797.0
35200861,518.0
35200862,401.0
35200863,380.0
35200867,752.0
35200870,2262.0
35200876,413.0
35200877,366.0
35200878,649.0
35200881,371.0
35200882,336.0
35200883,363.0
35200884,483.0
35200885,510.0
35200888,706.0
35200889,511.0
35200890,481.0
35200891,441.0
35200892,548.0
35200893,271.0
35200894,805.0
35200895,450.0
35200896,531.0
35200897,611.0
35200898,564.0
35200899,372.0
35200900,432.0
35200901,906.0
35200902,642.0
35200903,294.0
35200907,441.0
35200918,230.0
35200920,642.0
35200930,411.0
35200931,465.0
35200932,258.0
35200933,349.0
35200934,533.0
35200935,351.0
35200936,296.0
35200937,391.0
35200938,297.0
35200939,340.0
35200942,564.0
35200944,452.0
35200946,421.0
35200949,488.0
35200950,445.0
35200951,588.0
35200956,415.0
35200958,748.0
35200959,725.0
35200960,393.0
35200961,426.0
35200962,464.0
35200963,373.0
35200965,345.0
35200966,339.0
35200967,684.0
35200968,1666.0
35200975,372.0
35200977,539.0
35200979,520.0
35200981,450.0
35200983,317.0
35200988,583.0
35200990,539.0
35200991,418.0
35200992,357.0
35200993,256.0
35200994,412.0
35200995,301.0
35200996,278.0
35200997,676.0
35200998,368.0
35200999,566.0
35201000,664.0
35201011,318.0
35201012,363.0
35201013,330.0
35201014,559.0
35201015,663.0
35201018,400.0
35201019,411.0
35201020,470.0
35201023,677.0
35201024,592.0
35201028,468.0
35201029,894.0
35201030,500.0
35201031,743.0
35201032,413.0
35201036,585.0
35201038,643.0
35201040,497.0
35201041,983.0
35201045,392.0
35201046,475.0
35201047,554.0
35201048,531.0
35201050,281.0
35201051,614.0
35201052,505.0
35201053,432.0
35201054,585.0
35201055,723.0
35201056,488.0
35201057,648.0
35201062,327.0
35201064,638.0
35201065,579.0
35201066,515.0
35201067,442.0
35201068,733.0
35201076,579.0
35201079,518.0
35201080,818.0
35201081,349.0
35201106,493.0
35201109,570.0
35201110,774.0
35201112,433.0
35201113,422.0
35201122,288.0
35201123,327.0
35201124,415.0
35201125,400.0
35201126,324.0
35201127,550.0
35201130,391.0
35201133,488.0
35201140,435.0
35201141,529.0
35201142,459.0
35201143,553.0
35201144,316.0
35201146,359.0
35201148,413.0
35201150,297.0
35201151,295.0
35201152,336.0
35201156,453.0
35201157,343.0
35201160,342.0
35201161,237.0
35201162,529.0
35201167,181.0
35201168,465.0
35201169,445.0
35201170,616.0
35201171,332.0
35201172,503.0
35201173,367.0
35201174,424.0
35201175,527.0
35201176,454.0
35201177,430.0
35201178,492.0
35201180,475.0
35201181,434.0
35201185,522.0
35201187,318.0
35201192,430.0
35201193,483.0
35201194,391.0
35201197,312.0
35201200,592.0
35201201,448.0
35201202,454.0
35201203,787.0
35201204,437.0
35201205,664.0
35201206,643.0
35201210,273.0
35201212,493.0
35201214,259.0
35201215,682.0
35201219,947.0
35201240,308.0
35201241,617.0
35201242,663.0
35201243,424.0
35201244,275.0
35201249,531.0
35201253,521.0
35201255,369.0
35201256,331.0
35201257,310.0
35201259,450.0
35201263,363.0
35201278,514.0
35201279,497.0
35201281,449.0
35201284,393.0
35201285,387.0
35201286,262.0
